transaction_id,user_id,timestamp,amount,location,fraud_type,is_fraud
3b8fbc05-b850-4fce-bcff-f2cb8fb9f6cf,user_0,2024-12-19 10:02:11.236059,6397.87,North Paulafort,legit,0
4aeb789f-7090-47b5-b83a-55bbe45fab62,user_0,2025-02-24 23:13:13.184446,7418.09,Bellchester,money_laundering,1
f55f8915-e165-49c3-8d3c-947ed2336c78,user_0,2024-10-27 17:06:20.926134,2456.47,Jasonland,legit,0
70d50244-b619-489e-9119-ab9fea330938,user_0,2024-12-04 19:43:23.751158,1403.98,Ewingfurt,legit,0
7eb78b83-2815-4e33-89da-974faa51c3ff,user_0,2025-02-09 02:48:58.189821,1033.93,Smithfurt,legit,0
2c64cce0-0989-4331-835f-e7773198830a,user_0,2024-06-20 12:00:36.001871,7409.27,Allenburgh,legit,0
b668508c-e5fd-422b-b261-297b9b84c129,user_0,2024-12-03 23:53:17.977566,5458.21,Davisstad,legit,0
dcfc6a95-7d65-4d77-86f0-0ada900dec25,user_0,2024-07-03 11:51:04.527737,5909.02,Lowechester,legit,0
c277a75a-2292-4aa1-b243-c9922e477fe2,user_0,2024-12-08 08:47:52.455374,327.51,Lake Jessica,legit,0
04b7a848-8ed7-49d6-9380-981f4a127c08,user_0,2024-07-11 23:30:14.007384,946.02,South Curtisview,legit,0
d6b50a6b-f3bc-4908-a709-7e85fe015387,user_0,2024-08-08 21:14:26.900610,2334.28,New Margaret,legit,0
e92774c8-6546-44ae-8542-68fc7dd21b19,user_0,2024-12-02 05:21:18.216167,5616.84,North Amy,money_laundering,1
b17658e0-1559-49ec-b500-b2a6580bba63,user_0,2024-11-10 21:49:31.020095,7163.04,Marcusstad,legit,0
c53ddcfd-d0de-4bd1-b80f-a2246eec4d95,user_0,2025-01-21 16:11:40.125527,7016.24,North Lisa,legit,0
0cef930d-a16e-4902-8d22-beab1998fcea,user_0,2024-09-27 09:11:16.574513,4201.0,Stevemouth,legit,0
fe3bff5b-bc49-42fc-95aa-09e3f31e6431,user_0,2024-12-05 18:03:05.307408,4497.6,East Brittanymouth,legit,0
931b4bb6-9d38-46c8-9468-1f3f9580da0a,user_0,2024-10-31 15:28:29.823129,2789.13,Port Bailey,legit,0
7e79e5c4-45a3-4371-acd4-aff905865f86,user_0,2024-10-23 04:50:22.080781,8694.31,Lake Jonathantown,legit,0
87cbe24e-c5ef-497f-9b1c-08d00998d9b8,user_0,2025-01-16 08:56:01.796119,7590.49,East Tannertown,legit,0
5924d3d2-05b2-463a-8725-b7dce3067ee1,user_0,2025-05-11 04:45:05.581355,1605.0,Jonesfurt,legit,0
e41aecd5-097c-4d2a-bfde-5d341ac417cb,user_1,2025-05-08 18:41:53.194722,4231.92,Tracyport,legit,0
1ca6f519-aadd-426f-a48e-23e7c261fcc3,user_1,2024-11-24 03:51:41.762599,2785.93,New Sarah,legit,0
296433e6-e1c9-4dde-9cc5-e8efca344e7f,user_1,2025-04-12 13:02:55.337096,2160.98,West Dawnton,legit,0
