transaction_id,timestamp,sender_id,receiver_id,amount,currency,channel,location,user_type,fraud_flag,is_fraud,adversary_type
b269dce5-0900-4f2b-97c9-73a5f197fb90,2023-02-06 23:29:05,user_86,user_82,115.4,USD,atm,TH,individual,0,0,legit
56d3950f-d170-450d-b60a-1bdfcbb9a6f5,2023-01-01 14:10:11,user_27,user_58,497.86,SGD,online,SG,individual,1,1,scam
84e070b7-cfa9-4292-ab38-f90fea4b2937,2023-01-07 03:22:10,user_51,user_32,389.66,SGD,online,MY,individual,1,1,scam
226c33dc-8239-4ce4-aeb4-a2e291a58f5e,2023-01-04 22:33:53,user_10,user_7,579.43,SGD,online,ID,individual,1,1,scam
1aa82bda-cc5f-4ea4-a5b4-3adc1c9f5bc6,2023-01-25 23:03:20,user_55,user_92,974.14,USD,online,PH,individual,1,1,money_mule
540a0488-5d57-4e6d-9ec6-a999e3b5df75,2023-02-03 18:34:00,user_24,user_99,118.09,USD,atm,MY,individual,0,0,legit
02166151-467c-4cac-949c-7df4bf80668a,2023-03-23 07:19:30,user_88,user_36,9045.74,USD,branch,ID,business,1,1,money_laundering
72533846-09b3-482e-a850-8b89b413ed48,2023-02-19 05:57:45,user_39,user_13,204.24,IDR,online,ID,business,0,0,legit
a60d9b11-9599-437a-b692-d10cd6096cfb,2023-01-03 07:51:38,user_66,user_12,1072.35,SGD,online,MY,individual,1,1,money_mule
9c12afd5-381f-40a9-a1f3-3dce65b182e7,2023-03-30 19:08:18,user_68,user_91,9324.59,USD,branch,PH,business,1,1,money_laundering
29d54ba8-5f06-470e-a955-793df853ab84,2023-01-03 10:13:00,user_17,user_68,1041.16,SGD,online,ID,individual,1,1,money_mule
9316160d-b0ae-493a-84f8-dd7b0dbb0d29,2023-01-24 20:58:54,user_48,user_10,961.61,SGD,online,ID,individual,1,1,money_mule
ee52e899-a7d9-4430-b85c-a28f89e094bd,2023-01-17 22:25:13,user_35,user_35,9396.92,USD,branch,ID,business,1,1,money_laundering
db15ce23-a33f-42aa-9e63-e5d54cf0b95c,2023-01-30 06:07:30,user_93,user_45,31.87,SGD,online,PH,business,0,0,legit
f88b40a1-99db-4d97-9a0e-0c1aab3490d8,2023-02-01 09:01:23,user_41,user_55,9073.5,USD,branch,PH,business,1,1,money_laundering
59382ef9-fa69-467d-bbdd-2f8e9e0e30b4,2023-01-21 11:50:16,user_35,user_33,919.68,IDR,online,ID,individual,1,1,money_mule
151df36e-e45f-4f12-b037-e2a34063d1db,2023-03-11 12:45:16,user_70,user_40,9638.53,USD,branch,ID,business,1,1,money_laundering
ed8c66b1-8326-4fec-9f0b-eb74a1efccab,2023-02-19 00:17:11,user_50,user_32,9724.34,USD,branch,ID,business,1,1,money_laundering
117d60f6-6b71-4d26-b539-f624af158570,2023-01-05 02:15:11,user_75,user_68,545.24,SGD,online,TH,individual,1,1,scam
5e784354-449c-428d-bcdd-0b530e345149,2023-01-16 16:57:46,user_14,user_66,9533.6,USD,branch,MY,business,1,1,money_laundering
c053d058-ffb2-4a17-ac8b-50c9da351b28,2023-01-06 10:53:36,user_36,user_85,411.52,IDR,online,PH,individual,1,1,scam
a9e7bbd9-ba0c-4515-a1dc-99eb09fd935b,2023-01-22 20:23:00,user_54,user_59,334.9,SGD,atm,MY,individual,0,0,legit
f4ef4822-13c7-435c-af04-9c090ffc5dde,2023-02-01 21:11:22,user_5,user_17,9421.72,USD,branch,SG,business,1,1,money_laundering
3cc21cd3-88b3-4834-af9b-fd908de1decc,2023-02-27 22:50:42,user_82,user_5,230.22,USD,atm,SG,business,0,0,legit
79d1a12d-3a99-47fa-9de5-85c331aae24f,2023-01-16 09:59:28,user_42,user_67,9632.62,USD,branch,TH,business,1,1,money_laundering
61a4ae83-95b3-4ca8-a0f9-9911adde8de7,2023-01-19 15:24:04,user_89,user_93,174.03,IDR,branch,TH,individual,0,0,legit
be238f5e-f30d-4d49-b0b9-aaf86a52e995,2023-01-16 19:18:14,user_12,user_79,9909.03,USD,branch,ID,business,1,1,money_laundering
48605e9d-1ca3-4799-a401-8c63be33e1de,2023-01-21 16:43:19,user_73,user_95,9706.78,USD,branch,PH,business,1,1,money_laundering
eb41ef34-8370-4df0-a03f-6f078cb0a3f5,2023-01-03 09:27:09,user_72,user_29,660.73,IDR,online,ID,individual,1,1,scam
