transaction_id,timestamp,sender_id,receiver_id,amount,currency,channel,location,user_type,fraud_flag
c0133537-681e-4cd4-b3e2-141810dba634,2025-05-12 03:38:44.305870,5d6189fa-8cad-4b38-99a9-eb0d627f67c5,36d4deea-27e6-4a11-9016-746d3901914a,223.04,EUR,Mobile App,Cook Islands,normal,0
fec19632-ae83-4244-a47b-1ac52f8e9bc9,2025-04-23 03:38:44.306436,d9f39184-2828-4cf6-a775-3834a44fe928,1eafecad-81e3-43c1-83e9-650f76dfe3b1,995.4,USD,Online,Poland,normal,0
62f3c40a-1ce6-404d-a3ca-8452400e27a7,2025-03-28 03:38:44.306857,494acf6a-2f75-4d13-9b62-af1a73aa06a9,3fde439e-e729-4c0a-b2e2-16fc381b97f6,617.23,USD,Mobile App,Holy See (Vatican City State),normal,0
ae0a0104-9f1a-4884-9203-133e49326d50,2025-04-03 03:38:44.307241,4ae47e2a-1435-46ff-bb13-8cc1a3b6ccac,c024b2df-8b91-4e98-b404-a2f1824a5423,964.24,USD,Branch,Wallis and Futuna,normal,0
b06c6da2-58d9-498b-9c18-faf590cdc655,2025-03-14 03:38:44.307642,f3eeb8ab-fcfd-4807-8031-ff2b7fe81c9a,85cca0f3-58b5-49e8-9214-537a0f24b5d6,261.26,MYR,Mobile App,San Marino,normal,0
a7b76a35-9b2b-49b6-89e1-aba996fec294,2025-04-23 03:38:44.308005,3fde439e-e729-4c0a-b2e2-16fc381b97f6,d9f39184-2828-4cf6-a775-3834a44fe928,565.6,SGD,Mobile App,American Samoa,normal,0
6136b325-6341-4a9c-b81d-3a35df9bb698,2025-05-16 03:38:44.308419,44bffd65-951b-45f7-9bf8-ad0215f126f0,c419e692-f656-4fc0-b86c-e8d4a09eb3a8,924.56,SGD,Branch,Greenland,normal,0
1b044071-c15c-4ec9-8568-c9ecb6f331b3,2025-05-26 03:38:44.308832,dcd8e68a-bd38-45d8-9e94-e152507e9ab7,4ae47e2a-1435-46ff-bb13-8cc1a3b6ccac,817.8,MYR,ATM,Swaziland,normal,0
60712809-a98d-4430-943d-c2c834882d6e,2025-03-03 03:38:44.309212,79942413-5984-41ee-8601-1aaf72523685,25bc0408-4389-48e4-bb1d-5673b4da17b2,201.2,SGD,Mobile App,Maldives,normal,0
98a3668b-6c5d-4c03-93d7-21916db03b04,2025-03-16 03:38:44.309632,ae4560d7-0610-477a-8d5a-ba728e1ff24f,de23ac10-862a-4a8e-a739-89fc41ca2dca,145.19,GBP,Branch,Norway,normal,0
e3822d41-9976-4504-a6e6-df84be521ed1,2025-03-19 03:38:44.310006,20bca6e7-0afa-4ca8-bdc7-03dacc8fe939,40cd737d-0304-45ad-9cd8-0ad81c6be748,834.13,USD,Mobile App,Marshall Islands,normal,0
b1f976c2-d46e-4aee-90c0-bbdaa1a82b7f,2025-04-06 03:38:44.310413,3e59d354-296d-486c-891c-8551b35ab3f9,a9c429ba-1c0d-4dfb-b8b0-ed1373acb862,716.32,USD,Online,Bermuda,normal,0
c80ce8aa-5125-4c27-9774-626779898ffa,2025-03-18 03:38:44.310795,0266a146-3a1e-4d45-ad46-e17766993a17,24788e21-4666-4076-8fa8-c0ae714f5e08,513.23,SGD,Online,Iran,normal,0
54ddae8e-8fe0-40a3-a960-cfac0d53ceb0,2025-03-23 03:38:44.311146,d18f4a44-2cc8-40a9-9bf2-2f4bce7816be,a59e8c46-3937-44ac-8da0-49974296790f,818.48,USD,ATM,Australia,normal,0
94bc0404-450a-4475-8f9d-c99e496556b5,2025-04-16 03:38:44.311531,1cc16e2f-ae8f-44be-a0cf-61a9f779f872,e2b73f4e-3f12-46d5-bac1-f656c8fb928f,937.74,USD,Branch,Zimbabwe,normal,0
6a8c21f6-b189-4cca-a8f6-bd8140482828,2025-03-14 03:38:44.311883,3115f273-1f99-41e8-bd05-7fbd43de6c04,0d9addda-7691-4fb8-8c82-2affa95a5171,523.42,GBP,Branch,Morocco,normal,0
c44e67f1-2f0c-47f7-831a-a676d6cc0600,2025-03-07 03:38:44.312229,2dcf42c9-2238-4e17-9742-25251cf9332b,779d6cd2-e47a-4f48-8141-652130c7bdeb,689.44,EUR,ATM,Gabon,normal,0
2dc1a887-ffd5-46e5-ba71-f1e034ee7f8e,2025-03-14 03:38:44.312624,7a15e9b8-9d6e-4b5a-82bc-ed6cd93b7ce6,2be4ceeb-f708-413d-b170-8d4b404ca0c5,973.89,USD,ATM,Turkmenistan,terrorist_financier,1
dbe1ecc8-4a18-4d78-bd7f-ed043b489e1d,2025-03-22 03:38:44.312978,3c716d71-7770-4b89-95aa-92ba5cb0a7eb,ace31218-61f2-4e06-951b-20519cd18b93,921.82,USD,Mobile App,Eritrea,normal,0
e1f19803-020f-416e-87c6-4f7efd6e478c,2025-03-09 03:38:44.313365,48fb99e9-0e7e-4646-b4b3-957177d0952e,7e670871-ea97-49ff-93dd-7e86f739e09b,728.38,SGD,Branch,Uganda,normal,0
2ec616b7-166b-4ca8-9f41-26dc7dadc03e,2025-03-17 03:38:44.313750,69e220fa-657b-4035-bed5-5d59cbab7f1d,78e7a55c-7286-4676-a6c1-2f6f48fd20f6,531.09,EUR,Mobile App,Maldives,normal,0
33026ba4-326b-43df-9133-78a8136a7c1d,2025-05-16 03:38:44.314103,ef6be0f0-742e-42ff-9285-ea8c721c3664,d91b3e38-e329-47dc-ad21-0c9120662320,638.29,GBP,Online,Honduras,normal,0
af86b689-2f45-47bd-9776-5e6a22bf7316,2025-05-30 03:38:44.314496,7ec5fde8-9b6a-4277-bbc6-24834d769f4c,c5760b21-cf2c-4a4f-b139-63bcb570771f,860.65,USD,Mobile App,Nauru,normal,0
5c4d5f27-83c8-4640-807b-ea7bb0f750f8,2025-03-02 03:38:44.314848,81a18bc5-7c80-467a-b2c4-2a3c6af2e3a0,d317a465-1ae7-4988-b284-5ef52c3e95b3,955.68,EUR,Online,Aruba,normal,0
dafa90bb-c6a4-4f3b-8524-af0a5617ad32,2025-03-19 03:38:44.315200,56dbfcb9-7547-4cde-b312-9d52a85ad12f,15784e80-8919-48ca-bfad-503d39f56275,708.43,EUR,Online,Korea,normal,0
645e2bea-0969-422d-9f05-8ee92e801e0e,2025-03-08 03:38:44.315588,aef24c62-8a6f-49df-b46e-3824df45c370,b756e6b0-fbdd-4e4f-843e-498c457dd728,399.88,SGD,Online,Bhutan,normal,0
1342fac6-fcd1-42aa-b76f-a43eec5990d4,2025-04-13 03:38:44.315939,636f784e-a468-42fc-a6ee-242aa5962ab9,7a57da22-ba18-4422-a948-a46d147a9d55,13.88,SGD,Online,United States Virgin Islands,normal,0
30cba9ee-56c9-4f88-96b7-bbd5e54017bc,2025-03-03 03:38:44.316335,a1063d73-c1a3-409a-a41b-17c4907c9862,57b65a36-79ae-402b-9c81-b51a72eeb009,36.38,GBP,Mobile App,Turkmenistan,normal,0
cc6f2e9e-14f5-4a37-b7f3-421991e4d0da,2025-03-01 03:38:44.316707,e2d9dd7e-17a3-412a-85ce-a24ce9b97714,4287ee32-fdaf-4d19-8df0-47585e827b83,416.46,GBP,Branch,Bouvet Island (Bouvetoya),normal,0
ed58dfb2-31db-48ff-8487-5e9cedb15a78,2025-03-23 03:38:44.317057,e02b808b-388e-4706-bca5-5edd960257e4,ef6be0f0-742e-42ff-9285-ea8c721c3664,549.04,USD,Online,Norfolk Island,normal,0
b97053cc-a2e5-4d9b-9100-2d91768dd693,2025-04-29 03:38:44.317441,23a47092-b457-4a6e-a0b2-5d0aba0bd5c7,40f9d68b-4f9e-4086-a2b4-bf00f18bd259,683.65,MYR,Mobile App,Micronesia,normal,0
207afdca-58c1-48f9-ad39-9a139108fdfd,2025-03-04 03:38:44.317818,87d8d97c-c536-4b19-abc8-67cbcecad72b,647249e6-0b0c-4a46-95fc-3737ad55561b,659.93,EUR,Online,Kuwait,normal,0
d32e97e7-b9eb-4be0-a2d0-f91e9f68f292,2025-04-25 03:38:44.318190,2aa19d05-614f-472a-8bef-c79bfe8f463a,88da3e5e-d0b3-4da6-bd26-a38ecec3faf8,235.55,USD,Online,Bahrain,normal,0
cf3b3bbd-b7eb-418e-9ad9-b07670c08fe3,2025-04-29 03:38:44.318577,d8433708-2a2d-4951-a9cb-b9950b784fcb,e9dd3365-bbbe-4207-86c4-1821773460a9,229.56,GBP,Branch,Netherlands,normal,0
7b257f3b-1edf-4418-a618-f18c9ae13989,2025-03-28 03:38:44.318924,d02dc430-8d0c-47b4-801a-0739d8130668,181f93f3-0cbf-42e2-b81f-98ecbcf075a7,148.3,GBP,Mobile App,Aruba,normal,0
dc59e460-3655-4639-9dec-74ee5de86fbe,2025-05-05 03:38:44.319310,15346b40-013a-4c5c-9853-5a409e065f74,941d9803-513a-4180-a9a4-517fb30b994d,316.55,SGD,Mobile App,Niue,normal,0
2d8085c2-1322-4e9f-918c-76ffe0adeec5,2025-03-19 03:38:44.319673,4cec5127-50f4-4488-a68c-76f1e34dcecf,b52ba73a-e76d-4d5e-9638-8c90a6d49816,327.75,SGD,Branch,Jordan,normal,0
77e262ab-d4ad-4e61-b59a-3eb7cc8c3802,2025-04-20 03:38:44.320017,cb6fbe3f-1c72-4c73-855e-1560820c9ba9,dfa7bf58-af58-45be-83c1-7f1bfc9413e7,736.11,SGD,Mobile App,Serbia,normal,0
1b9de08e-b776-4301-b4d0-79b1e41f5f7d,2025-05-02 03:38:44.320519,7ec4f6d3-fbc9-40f2-8713-fe9c97f1c2a1,4f28fc22-ffbe-4573-b5a9-f2c2fcede06a,299.76,MYR,Online,Switzerland,normal,0
